double_matchings,bits_recovered,bits,%,time
81.0,622.0,2374.0,0.2620050547598989,2.4150402545928955
58.0,622.0,1324.0,0.4697885196374622,1.730224370956421
81.0,1530.0,2386.0,0.6412405699916177,2.652606725692749
36.0,198.0,484.0,0.4090909090909091,1.0494976043701172
41.0,254.0,708.0,0.3587570621468927,1.115882158279419
72.0,658.0,1906.0,0.3452256033578174,2.1479382514953613
39.0,124.0,712.0,0.1741573033707865,1.319493055343628
53.0,406.0,808.0,0.5024752475247525,1.5494446754455566
90.0,1296.0,3160.0,0.410126582278481,2.901275396347046
24.0,94.0,184.0,0.5108695652173914,0.7711260318756104
76.0,920.0,2620.0,0.3511450381679389,2.473872661590576
16.0,38.0,78.0,0.4871794871794871,0.2792150974273681
86.0,1390.0,2362.0,0.5884843353090601,2.539551258087158
101.0,1174.0,3274.0,0.3585827733659132,3.7471842765808105
77.0,1470.0,2878.0,0.5107713690062543,2.382853507995605
92.0,1588.0,3352.0,0.4737470167064439,2.7781357765197754
107.0,1572.0,4600.0,0.3417391304347826,4.15475606918335
86.0,812.0,2398.0,0.3386155129274395,2.589977741241455
119.0,1872.0,4902.0,0.3818849449204406,4.2519614696502686
72.0,902.0,1798.0,0.5016685205784205,2.1465415954589844
71.0,628.0,2094.0,0.2999044890162368,2.280266046524048
107.0,1536.0,4248.0,0.3615819209039548,3.1662728786468506
73.0,592.0,1932.0,0.3064182194616977,2.1406941413879395
49.0,190.0,600.0,0.3166666666666666,1.2334280014038086
104.0,1606.0,3310.0,0.4851963746223565,3.001924514770508
94.0,1262.0,3230.0,0.3907120743034056,3.123912811279297
31.0,166.0,366.0,0.453551912568306,0.7664415836334229
106.0,1706.0,4924.0,0.3464662875710804,3.45381498336792
56.0,592.0,1336.0,0.4431137724550898,1.7010290622711182
95.0,1438.0,3766.0,0.3818374933616569,3.1206164360046387
17.0,22.0,58.0,0.3793103448275862,0.4927675724029541
29.0,144.0,266.0,0.5413533834586466,0.9217662811279296
112.0,1872.0,4766.0,0.3927822073017205,3.8356122970581055
21.0,16.0,188.0,0.0851063829787234,0.6318187713623047
92.0,1184.0,2898.0,0.4085576259489303,2.939876079559326
59.0,528.0,1176.0,0.4489795918367347,1.857127904891968
58.0,352.0,754.0,0.4668435013262599,1.852686643600464
75.0,1088.0,2156.0,0.5046382189239332,2.6495399475097656
50.0,438.0,1046.0,0.4187380497131931,1.2255661487579346
109.0,1342.0,3414.0,0.393087287639133,3.3479371070861816
23.0,28.0,98.0,0.2857142857142857,0.7233953475952148
105.0,1958.0,4368.0,0.4482600732600733,3.8771212100982666
21.0,50.0,102.0,0.4901960784313725,0.3937013149261474
33.0,206.0,480.0,0.4291666666666666,1.0336406230926514
84.0,990.0,2688.0,0.3683035714285714,2.5855913162231445
40.0,94.0,478.0,0.1966527196652719,1.2169239521026611
16.0,30.0,94.0,0.3191489361702128,0.6001124382019043
82.0,1144.0,2640.0,0.4333333333333333,2.89595890045166
24.0,80.0,198.0,0.404040404040404,0.9409937858581544
9.0,22.0,32.0,0.6875,0.3688180446624756
114.0,1294.0,4718.0,0.2742687579482831,3.653130531311035
96.0,752.0,2392.0,0.31438127090301,2.9099621772766118
55.0,718.0,1554.0,0.462033462033462,1.8892698287963867
131.0,2748.0,5830.0,0.4713550600343053,4.447411298751831
106.0,1368.0,4560.0,0.3,3.503036499023437
121.0,2192.0,5142.0,0.426293271100739,4.065490961074829
45.0,222.0,586.0,0.378839590443686,1.3713629245758057
65.0,710.0,1778.0,0.3993250843644544,1.7917945384979248
119.0,1876.0,5748.0,0.3263743910925539,3.721099615097046
6.0,0.0,8.0,0.0,0.1736214160919189
90.0,1558.0,3250.0,0.4793846153846154,2.592242479324341
104.0,1754.0,4558.0,0.3848179025888548,3.4822232723236084
25.0,76.0,174.0,0.4367816091954023,0.7418580055236816
71.0,706.0,1678.0,0.4207389749702026,2.135425090789795
18.0,48.0,88.0,0.5454545454545454,0.5974712371826172
85.0,1376.0,2476.0,0.555735056542811,2.851314067840576
74.0,900.0,1784.0,0.5044843049327354,2.1266589164733887
39.0,254.0,630.0,0.4031746031746032,1.058412790298462
99.0,1400.0,3136.0,0.4464285714285714,2.829742670059204
