double_matchings,bits_recovered,bits,%
12.0,0.0,207.0,0.0
18.0,789.0,789.0,1.0
10.0,87.0,87.0,1.0
17.0,240.0,384.0,0.625
17.0,315.0,417.0,0.7553956834532374
17.0,564.0,564.0,1.0
14.0,300.0,357.0,0.8403361344537815
17.0,798.0,798.0,1.0
20.0,1011.0,1011.0,1.0
18.0,855.0,855.0,1.0
13.0,60.0,144.0,0.4166666666666667
16.0,540.0,540.0,1.0
19.0,807.0,807.0,1.0
17.0,300.0,354.0,0.847457627118644
14.0,303.0,366.0,0.8278688524590164
12.0,183.0,183.0,1.0
18.0,510.0,651.0,0.783410138248848
15.0,393.0,393.0,1.0
10.0,111.0,138.0,0.8043478260869565
12.0,0.0,213.0,0.0
10.0,99.0,99.0,1.0
9.0,117.0,117.0,1.0
20.0,1125.0,1125.0,1.0
15.0,357.0,357.0,1.0
17.0,420.0,420.0,1.0
13.0,255.0,285.0,0.8947368421052632
16.0,387.0,387.0,1.0
14.0,129.0,165.0,0.7818181818181819
12.0,144.0,237.0,0.6075949367088608
19.0,870.0,870.0,1.0
19.0,816.0,816.0,1.0
17.0,567.0,567.0,1.0
13.0,297.0,318.0,0.9339622641509434
14.0,270.0,270.0,1.0
13.0,345.0,345.0,1.0
16.0,294.0,354.0,0.8305084745762712
15.0,489.0,489.0,1.0
14.0,360.0,360.0,1.0
10.0,27.0,69.0,0.391304347826087
14.0,366.0,366.0,1.0
18.0,681.0,681.0,1.0
21.0,1275.0,1275.0,1.0
17.0,402.0,477.0,0.8427672955974843
21.0,819.0,819.0,1.0
17.0,570.0,570.0,1.0
11.0,168.0,168.0,1.0
15.0,453.0,453.0,1.0
15.0,384.0,438.0,0.8767123287671232
17.0,525.0,525.0,1.0
14.0,405.0,405.0,1.0
15.0,390.0,399.0,0.9774436090225564
15.0,441.0,441.0,1.0
13.0,354.0,354.0,1.0
14.0,258.0,258.0,1.0
16.0,429.0,429.0,1.0
11.0,156.0,156.0,1.0
14.0,426.0,426.0,1.0
15.0,378.0,516.0,0.7325581395348837
21.0,1458.0,1458.0,1.0
18.0,906.0,906.0,1.0
16.0,477.0,507.0,0.940828402366864
17.0,669.0,669.0,1.0
11.0,96.0,120.0,0.8
15.0,408.0,408.0,1.0
17.0,507.0,507.0,1.0
11.0,0.0,75.0,0.0
15.0,528.0,528.0,1.0
18.0,834.0,834.0,1.0
20.0,822.0,852.0,0.9647887323943662
10.0,42.0,90.0,0.4666666666666667
17.0,696.0,696.0,1.0
15.0,483.0,483.0,1.0
16.0,522.0,522.0,1.0
21.0,1029.0,1029.0,1.0
17.0,555.0,555.0,1.0
14.0,315.0,363.0,0.8677685950413223
16.0,429.0,429.0,1.0
17.0,855.0,855.0,1.0
15.0,384.0,390.0,0.9846153846153848
15.0,516.0,516.0,1.0
19.0,735.0,735.0,1.0
16.0,540.0,540.0,1.0
17.0,441.0,615.0,0.7170731707317073
17.0,864.0,864.0,1.0
15.0,600.0,600.0,1.0
13.0,66.0,156.0,0.4230769230769231
20.0,867.0,867.0,1.0
13.0,249.0,279.0,0.8924731182795699
16.0,642.0,642.0,1.0
13.0,231.0,249.0,0.927710843373494
16.0,567.0,567.0,1.0
19.0,1032.0,1032.0,1.0
19.0,1095.0,1095.0,1.0
15.0,0.0,435.0,0.0
18.0,813.0,813.0,1.0
20.0,1089.0,1089.0,1.0
18.0,396.0,441.0,0.8979591836734694
17.0,627.0,627.0,1.0
11.0,36.0,78.0,0.4615384615384615
18.0,801.0,831.0,0.9638989169675092
20.0,1212.0,1212.0,1.0
16.0,201.0,270.0,0.7444444444444445
14.0,348.0,348.0,1.0
8.0,0.0,57.0,0.0
18.0,960.0,960.0,1.0
14.0,390.0,390.0,1.0
15.0,351.0,351.0,1.0
12.0,0.0,201.0,0.0
14.0,138.0,222.0,0.6216216216216216
15.0,327.0,333.0,0.981981981981982
16.0,366.0,366.0,1.0
17.0,672.0,672.0,1.0
8.0,0.0,51.0,0.0
18.0,756.0,756.0,1.0
12.0,159.0,246.0,0.6463414634146342
14.0,0.0,213.0,0.0
20.0,972.0,972.0,1.0
14.0,240.0,309.0,0.7766990291262136
15.0,222.0,222.0,1.0
15.0,375.0,375.0,1.0
18.0,744.0,831.0,0.8953068592057761
14.0,0.0,291.0,0.0
11.0,129.0,132.0,0.9772727272727272
16.0,480.0,513.0,0.935672514619883
13.0,246.0,246.0,1.0
16.0,459.0,564.0,0.8138297872340425
17.0,522.0,540.0,0.9666666666666668
16.0,543.0,543.0,1.0
12.0,123.0,195.0,0.6307692307692307
7.0,42.0,42.0,1.0
13.0,219.0,219.0,1.0
14.0,306.0,336.0,0.9107142857142856
19.0,1086.0,1086.0,1.0
19.0,702.0,702.0,1.0
17.0,606.0,606.0,1.0
16.0,354.0,354.0,1.0
15.0,552.0,552.0,1.0
15.0,411.0,411.0,1.0
13.0,66.0,102.0,0.6470588235294118
13.0,264.0,264.0,1.0
16.0,321.0,321.0,1.0
18.0,414.0,582.0,0.711340206185567
17.0,306.0,459.0,0.6666666666666666
10.0,96.0,105.0,0.9142857142857144
13.0,156.0,183.0,0.8524590163934426
20.0,849.0,849.0,1.0
19.0,705.0,834.0,0.8453237410071942
17.0,159.0,378.0,0.4206349206349206
20.0,1164.0,1164.0,1.0
19.0,759.0,819.0,0.9267399267399268
13.0,276.0,300.0,0.92
19.0,864.0,864.0,1.0
13.0,237.0,246.0,0.9634146341463414
13.0,0.0,225.0,0.0
20.0,1047.0,1047.0,1.0
16.0,333.0,417.0,0.7985611510791367
14.0,225.0,225.0,1.0
14.0,369.0,369.0,1.0
20.0,1125.0,1125.0,1.0
13.0,258.0,258.0,1.0
